Price,Year,Make,Model,Description,Url
"$66,995",1963,Chevrolet,Bel Air,"ORIG CA CHEVY! DUAL-QUAD 409 V8, T10 4-SPEED, FACTORY COLOR COMBO, DRIVES GREAT!",streetsideclassics.com/vehicles/2694-phx/1963-chevrolet-bel-air-409
"$43,995",1963,Chevrolet,Bel Air,"COOL CUSTOM WAGON! 283 V8, 700R4 AUTO, A/C, PS/B, FRT DISC, SHARP PAINT/INTERIOR",streetsideclassics.com/vehicles/5669-dfw/1963-chevrolet-bel-air-wagon
"$31,995",1963,Chevrolet,Corvair 95,"RARE CORVAIR RAMPSIDE PICKUP, 145 CI FLAT 6, 4-SPEED MANUAL, MAJOR HEAD TURNER!!",streetsideclassics.com/vehicles/6035-atl/1963-chevrolet-corvair-95-rampside-pickup
"$14,995",1963,Chevrolet,Corvair,"TURBO 145 FLAT-6, 4-SPEED, SLEEK WHITE CHEVY, GREAT RUNNING AND DRIVING SPYDER!!",streetsideclassics.com/vehicles/2525-phx/1963-chevrolet-corvair-monza-spyder
"$43,995",1963,Chevrolet,Nova,"REAL DEAL SS SUPER SPORT, 350CI MOTOR, AUTO TRANS, POWER FRONT DISCS, COOL NOVA!",streetsideclassics.com/vehicles/3165-nsh/1963-chevrolet-nova-ss
"$44,995",1963,Ford,Country Squire,"289CI V8, 3SPD AUTO, PWR STEER, RUNS/DRIVES WELL, GR8 LOOKIN, POWER REAR GLASS!!",streetsideclassics.com/vehicles/7088-cha/1963-ford-country-squire-woody-wagon
"$33,995",1963,Ford,Fairlane,"RARE FAIRLANE RANCHERO, 289 V8, 3-SPEED AUTO, PWR STEER/BRAKES, DUAL EXHAUST!!",streetsideclassics.com/vehicles/6798-atl/1963-ford-fairlane-ranchero-custom
"$39,995",1963,Ford,Falcon,"Description coming soon, call for details!",streetsideclassics.com/vehicles/7527-cha/1963-ford-falcon-futura
"$32,995",1963,Ford,Falcon,"UPGRADED TO 289 V8, AUTOMATIC, POWER STEERING, GREAT COLOR COMBO, BUCKETS, NICE",streetsideclassics.com/vehicles/3583-tpa/1963-ford-falcon-futura-hardtop
"$33,995",1963,Ford,Falcon,"STRONG RUNNING 347CI STROKER MOTOR, 4-SPEED MANUAL, WELD WHEELS, MEAN FALCON",streetsideclassics.com/vehicles/2897-nsh/1963-ford-falcon-futura-prostreet
"$37,995",1963,GMC,C10,"350CI MOTOR, 700R4 OVERDRIVE TRANS, A/C INTERIOR, POWER STEER & FRONT DISCS",streetsideclassics.com/vehicles/3178-nsh/1963-gmc-c10
"$27,995",1964,Chevrolet,Biscayne,"283CI MOTOR, 4-SPEED MANUAL, TOUGH BLACK ON BLACK COLORS, GOOD RUNNER!",streetsideclassics.com/vehicles/3032-nsh/1964-chevrolet-biscayne
"$44,995",1964,Chevrolet,Biscayne,"Description coming soon, call for details!",streetsideclassics.com/vehicles/3453-nsh/1964-chevrolet-biscayne
"$27,995",1964,Chevrolet,C10,"PERIOD CORRECT 230 INLINE 6, 3 SPEED MANUAL, 12 BOLT REAR, CUSTOM STAKE BED!",streetsideclassics.com/vehicles/3382-tpa/1964-chevrolet-c10
"$52,995",1964,Chevrolet,Chevelle,"Description coming soon, call for details!",streetsideclassics.com/vehicles/7382-cha/1964-chevrolet-chevelle-malibu
"$25,995",1964,Chevrolet,Corvair,"164 CI FLAT-SIX TURBO, 4-SPEED WITH HURST SHIFTER, SLICK DROPTOP, FACTORY COLORS",streetsideclassics.com/vehicles/2633-phx/1964-chevrolet-corvair-monza-spyder-convertible-turbo
"$44,995",1964,Chevrolet,El Camino,"383CI STROKER MOTOR, GREAT STANCE, SLICK PAINT, A/C INTERIOR, POWER STEER/BRAKES",streetsideclassics.com/vehicles/3362-nsh/1964-chevrolet-el-camino
"$66,995",1964,Chevrolet,Impala,"Description coming soon, call for details!",streetsideclassics.com/vehicles/3451-nsh/1964-chevrolet-impala-ss
"$69,995",1964,Chevrolet,Impala,"REAL SS! PERIOD CORRECT 409 W/ 2 4BBLS, 4 SPEED MAN, CORRECT PALOMAR RED, NICE!",streetsideclassics.com/vehicles/5384-dfw/1964-chevrolet-impala-ss-409
"$35,995",1964,Chevrolet,Nova,"STRONG 383 V8, 3-SPEED AUTO TRANS, 10 BOLT REAR END, DUAL EXHAUST, CHEVY II, A+!",streetsideclassics.com/vehicles/6399-atl/1964-chevrolet-nova-chevy-ii
"$34,995",1964,Chevrolet,Nova,"SUPRCHRGD, DUAL CARB, 350CI V8, TH350 3SPD AUTO, RUN/DRIVE WELL, GR8 COLOR COMBO",streetsideclassics.com/vehicles/7019-cha/1964-chevrolet-nova-chevy-ii
"$89,995",1964,Chevrolet,Suburban,"WOW! FUEL INJ 502 RAMJET V8, AUTO, A/C, AIR RIDE, LEATHER, READY TO SHOW & GO!",streetsideclassics.com/vehicles/5534-dfw/1964-chevrolet-suburban-restomod
"$59,995",1964,Dodge,330,"WOW! PRO BUILT MOPAR! BUILT 426 V8, 4 SPEED MANUAL, SURE GRIP, LONG SPEC LIST!",streetsideclassics.com/vehicles/5597-dfw/1964-dodge-330-super-stock-clone
"$34,995",1964,Dodge,Dart,"COOL CUSTOM MOPAR, 318 V8, 4-SPEED MANUAL, POWER STEER/4-WHEEL DISC, COLD A/C!!",streetsideclassics.com/vehicles/6463-atl/1964-dodge-dart-270
"$24,995",1964,Dodge,Dart,"ERA CORRECT 273 V8, 4-SPEED, PWR STEER, RECENT RESTO, MAINT RCPTS, CLEAN MOPAR!!",streetsideclassics.com/vehicles/2227-phx/1964-dodge-dart-gt
"$29,995",1964,Dodge,Dart,"TRUE GT WITH 273 V8 AND A500 3-SPEED AUTO, PWR STEER, FRONT DISCS, SLICK MOPAR!!",streetsideclassics.com/vehicles/2339-phx/1964-dodge-dart-gt
"$34,995",1964,Ford,F-100,"DEEP SLICK RED PAINT, 292CI V8 MOTOR, 3-SPEED MANUAL FRONT DISC BRAKES, PICKUP!",streetsideclassics.com/vehicles/3359-nsh/1964-ford-f-100
"$24,995",1964,Ford,F-100,"UPGRADED CHASSIS, 4.6L SOHC V8, 4SPD AUTO, PWR STEER/BRAKE, RUN/DRIVES WELL, WOW",streetsideclassics.com/vehicles/6871-cha/1964-ford-f-100-restomod
"$20,995",1964,Ford,F-100,"STRONG 302 V8 WITH TURBO, 3-SPEED MANUAL, FRONT DISC, DUAL EXHAUST, FAST F100!!",streetsideclassics.com/vehicles/6610-atl/1964-ford-f-100-turbo
"$24,995",1964,Ford,Falcon,"PEPPY 302 V8, B&M 3-SPEED AUTO TRANS, FRONT DISC BRAKES, DUAL EXHAUST, COOL!!!",streetsideclassics.com/vehicles/6879-atl/1964-ford-falcon-futura
"$31,995",1964,Ford,Galaxie,"390 V8, TRIPLE-DUECE CARBS, 3 SPEED AUTO, POWER BRAKES & STEERING, COOL TRIBUTE!",streetsideclassics.com/vehicles/3211-tpa/1964-ford-galaxie
"$37,995",1964,Ford,Galaxie,"BIG 390 V8, 3-SPEED AUTO, PWR STEER/FRNT DISC, DUAL EXHAUST, GREAT CRUISER, A+!",streetsideclassics.com/vehicles/6695-atl/1964-ford-galaxie-500-xl
"$29,995",1964,Ford,Thunderbird,"Description coming soon, call for details!",streetsideclassics.com/vehicles/7520-cha/1964-ford-thunderbird-convertible
"$59,995",1964,GMC,1000,"350 V8, AUTO W/ OD, PWR BRAKES/STEER, FRONT DISCS, RESTO RCPTS & PHOTOS, AWESOME",streetsideclassics.com/vehicles/2216-phx/1964-gmc-1000-1-2-ton
"$25,995",1964,Mercury,Comet,"SUPER SLICK COMET, FUEL INJECTED & PEEPY 302 V8, AUTO TRANS, DUAL EXHAUST, NICE!",streetsideclassics.com/vehicles/6414-atl/1964-mercury-comet
"$35,995",1965,Chevrolet,C10,"350CI MOTOR W/ HOLLEY SNIPER EFI, 700R4 O/D TRANS, A/C INTERIOR, FIBERGLASS BED",streetsideclassics.com/vehicles/3294-nsh/1965-chevrolet-c10
"$34,995",1965,Chevrolet,C10,"SUPER CLEAN CHEVY C10, 292 INLINE 6 CLYINDER, 3-SPEED MANUAL TRANS, VINTAGE!!!",streetsideclassics.com/vehicles/6793-atl/1965-chevrolet-c10
"$34,995",1965,Chevrolet,C10,"Description coming soon, call for details!",streetsideclassics.com/vehicles/7462-cha/1965-chevrolet-c10-custom
"$37,995",1965,Chevrolet,C10,"350 V8 INSTALLED IN 2017, 700R4 AUTO, PWR BRKES/STEER, BUILD RCPTS, DRIVES GREAT",streetsideclassics.com/vehicles/2689-phx/1965-chevrolet-c10-stepside
"$21,995",1965,Chevrolet,Chevelle,"BUILT 400 SMALL BLOCK V8, AUTO, POWER STEERING, UPGRADED SUSPENSION, GREAT LOOK",streetsideclassics.com/vehicles/3488-tpa/1965-chevrolet-chevelle-malibu
"$79,995",1965,Chevrolet,Chevelle,"BEAUTIFUL FRESH BUILD! SUPERCHARGED LS1, TREMEC 6 SPD, A/C, PS/B, FRT DISC, WOW!",streetsideclassics.com/vehicles/5461-dfw/1965-chevrolet-chevelle-malibu-restomod
"$49,995",1965,Chevrolet,Chevelle,"Description coming soon, call for details!",streetsideclassics.com/vehicles/3440-nsh/1965-chevrolet-chevelle-malibu-ss
"$63,995",1965,Chevrolet,Chevelle,"AWESOME SS, 5.7L LT4 V8, 4L60E AUTO, BAER POWR DISCS, POWR STEER, BUILD RECEIPTS",streetsideclassics.com/vehicles/2628-phx/1965-chevrolet-chevelle-malibu-ss-pro-touring
"$38,995",1965,Chevrolet,Chevelle,"MALIBU SS TRIBUTE, PEPPY 350 V8, AUTO TRANS, PWR STEER/FRNT DISC, DUAL EXHAUST!!",streetsideclassics.com/vehicles/6749-atl/1965-chevrolet-chevelle-malibu-ss-tribute
"$49,995",1965,Chevrolet,Chevelle,"396CI V8, SOUNDS GOOD, TH350 3SPD AUTO, RUNS/DRIVES WELL, GOOD COLOR COMBO, NICE",streetsideclassics.com/vehicles/7352-cha/1965-chevrolet-chevelle-ss
"$22,995",1965,Chevrolet,El Camino,"283 V8, MUNCIE 4 SPEED MANUAL, POWER FRONT DISC, POWER STEERING, GREAT STANCE!",streetsideclassics.com/vehicles/3425-tpa/1965-chevrolet-el-camino
"$31,995",1965,Chevrolet,Nova,"SHARP LIL CHEVY II W/ 194CI INLINE 6, 3 SPEED MANUAL, RUNS AND DRIVES GREAT!",streetsideclassics.com/vehicles/5663-dfw/1965-chevrolet-nova-chevy-ii
"$36,995",1965,Chevrolet,Nova,"REAL DEAL 118 SUPER SPORT, 327CI MOTOR, AUTO TRANS, GREAT MUSCLE CAR COLORS!",streetsideclassics.com/vehicles/2888-nsh/1965-chevrolet-nova-ss
"$20,995",1965,Dodge,Coronet,"COOL CORONET 500, 318 V8, 3-SPEED AUTO TRANS, FRONT DISC BRAKES, CLASSIC MOPAR!!",streetsideclassics.com/vehicles/6471-atl/1965-dodge-coronet-500
"$23,995",1965,Ford,F-100,"SHARP SHORT BED FORD! CHEVY 350 V8, TH350 AUTO, PS, FRT DISC BRKS, NICE DRIVER!",streetsideclassics.com/vehicles/5574-dfw/1965-ford-f-100
"$33,995",1965,Ford,F-100,"BIG & POWERFUL 429 V8, 3-SPEED AUTO, PWR STEER/FRNT DISC, DUAL EXHAUST, CLEAN!!",streetsideclassics.com/vehicles/6712-atl/1965-ford-f-100
"$33,995",1965,Ford,F-100,"SHARP F-100, 351 WINDOSR V8, 3-SPEED AUTO, PWR STEER/FRNT DISC, DUAL EXHAUST!!",streetsideclassics.com/vehicles/6747-atl/1965-ford-f-100
"$22,995",1965,Ford,F-100,"Description coming soon, call for details!",streetsideclassics.com/vehicles/7576-cha/1965-ford-f-100
"$46,995",1965,Ford,F-100,"501 V8 W/ GO-FAST GOODIES, 4-SPEED, ELCTRIC CUT-OUTS, PWR BRKS/STEER, SLICK F100",streetsideclassics.com/vehicles/2489-phx/1965-ford-f-100-prostreet
"$60,995",1965,Ford,Fairlane,"STRONG 351 WINDSOR V8, 4-SPEED MANUAL TRANS, GLASSPACK STYLE DUAL EXHAUST, COOL!",streetsideclassics.com/vehicles/6809-atl/1965-ford-fairlane-500
"$33,995",1965,Ford,Falcon,"SHARP! 289 V8, AUTO, FRONT DISC BRKS, GREAT COLOR COMBO, RUNS/DRIVES GREAT!",streetsideclassics.com/vehicles/5696-dfw/1965-ford-falcon-futura
"$29,995",1965,Ford,Mustang,"VERY FACTORY CORRECT 64 1/2 WITH A/C! ""F"" CODE 260 V8, AUTO, PS, CORRECT COLORS",streetsideclassics.com/vehicles/2850-nsh/1965-ford-mustang
"$28,995",1965,Ford,Mustang,"Description coming soon, call for details!",streetsideclassics.com/vehicles/3441-nsh/1965-ford-mustang
"$33,995",1965,Ford,Mustang,"PERIOD CORRECT 289 V8, AUTO, 4 WHEEL POWER DISC, COLD A/C, ORIGINAL BLACK CAR!",streetsideclassics.com/vehicles/3496-tpa/1965-ford-mustang
"$29,995",1965,Ford,Mustang,"T CODE 200 INLINE 6, UPRADED 5 SPEED MANUAL, RED OVER RED, NICE VINYL TOP, SHARP",streetsideclassics.com/vehicles/3649-tpa/1965-ford-mustang
